N,P,K,temperature,humidity,ph,rainfall,soil_type,Crop
118,37,186,20.27,40.01,7.26,157.91,loamy,sugarcane
71,98,122,15.15,42.58,8.06,144.21,clay,soybean
68,79,28,32.37,88.85,6.81,143.75,loamy,rice
72,44,184,34.89,95.43,7.7,58.74,clay,oilseeds
8,17,151,19.85,38.87,6.72,45.2,loamy,maize
77,19,23,23.81,49.71,4.06,297.03,loamy,sugarcane
83,28,43,15.77,67.18,7.38,176.65,loamy,barley
16,46,174,21.85,95.35,8.55,70.76,clay,sugarcane
64,75,163,26.74,26.29,8.57,236.71,sandy,groundnut
81,43,60,15,49.12,5.63,296.74,sandy,soybean
34,118,84,22.21,62.15,4.83,78.22,sandy,maize
73,79,73,10.16,44.97,5.79,131.94,loamy,jowar
53,111,36,25.77,70.08,4.22,213.28,loamy,oilseeds
81,33,127,14.56,95.68,5.85,181.29,loamy,barley
0,100,51,31.45,79.89,8.46,106.92,loamy,cotton
73,95,136,26.48,76.02,6.6,233.19,sandy,oilseeds
51,5,162,26.43,22.59,6.6,146.33,loamy,barley
132,102,146,29.91,76.92,5.94,185.68,clay,soybean
15,77,60,31.97,42.13,8.44,170.15,loamy,rice
17,73,25,25.81,26.34,5.95,156.54,loamy,rice
34,68,171,29.88,58.87,8.51,37.76,sandy,barley
19,13,13,23.46,82.87,5.49,264.45,sandy,maize
93,19,54,17.87,79.56,5.67,81.58,loamy,bajra
90,85,112,17.32,22.05,7.75,107.24,loamy,pulses
42,83,123,34.68,65.22,8.58,249.62,clay,maize
55,80,5,13.65,46.5,4.59,37.88,clay,barley
94,101,74,25.07,86.36,6.49,48.35,sandy,pulses
45,100,27,24.01,42.99,4.38,277.07,sandy,sugarcane
117,112,140,23.35,90.61,5.3,162.97,sandy,jowar
21,80,182,38.92,43.57,4.61,150.07,loamy,cotton
79,48,78,37.58,67.05,5.53,60.83,sandy,bajra
29,48,199,36,54.56,5.62,89.53,loamy,cotton
104,53,39,36.17,78.77,4.32,119.01,loamy,sugarcane
21,58,90,16.99,49.25,5.64,282.38,clay,oilseeds
145,9,158,11.13,37.31,4.45,242.29,sandy,jowar
10,15,64,25.97,57.88,5.81,247.77,loamy,soybean
46,16,24,13.68,36.49,7.61,275.14,clay,gram
127,103,131,31.2,45.33,5.99,200.06,loamy,oilseeds
86,75,96,35.17,61.14,8.35,57.32,loamy,rice
